Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Absolonova 26a;PKK1 Absolonov.26a;Komín;49.2199439;16.5572753;214.6;PK;K1AbsKOT;Kotle K1 Absolonova
Absolonova 26a;PKK1 Absolonov.26a;Komín;49.2199439;16.5572753;214.6;PK;K1AbsSTR;Topení K1 Absolonova
Absolonova 26a;PKK1 Absolonov.26a;Komín;49.2199439;16.5572753;214.6;PK;K1AbsMT;Měření K1 Absolonova
Absolonova 26a;PKK1 Absolonov.26a;Komín;49.2199439;16.5572753;214.6;PK;K1AbsPS1;14-16,18-20,22-24,26-28
Absolonova 26a;PKK1 Absolonov.26a;Komín;49.2199439;16.5572753;214.6;PK;AbsPS1MT;14-16,18-20,22-24,26-28
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;K4AbsKOT;Kotle K4 Absolonova
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;K4AbsSTR;Stroj. K4 Absolonova
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;K4AbsMT;Měření K4 Absolonova
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;K4AbsPS1;PDS Absol. 30,73,75,79
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;K4AbsPS2;PDS Absol. 81,85,89,93
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;Ab4PS1MT;Měření Abs. 30,73,75,79
Absolonova 93a;PKK4 Absolonov.93a;Komín;49.2214239;16.5559986;221.2;PK;Ab4PS2MT;Měření Abs. 81,85,89,93
Arbesova 12;HO3 Arbesova;Lesná;49.2251953;16.6276150;275.8;HV;HO3ArSTR;Stroj. HO3 Arbesova
Arbesova 12;HO3 Arbesova;Lesná;49.2251953;16.6276150;275.8;HV;HO3ArMT;Měření HO3 Arbesova
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;K5AxmKOT;Kotle K5/2 Axmanova
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;K5AxmSTR;Strojovna K5/2 Axmanova
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;K5AxmMT;Měření K5/2 Axmanova
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSAxm13;PDS Axmanova 13
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSAxm15;PDS Axmanova 15
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSJir_9;PDS Jírovcova 9
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSJir13;PDS Jírovcova 13
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSJir15;PDS Jírovcova 15
Axmanova 12a;PK K5/2 Axmanova;Kohoutovice;49.1888675;16.5362408;386.2;PK;PDSJir17;PDS Jírovcova 17
