GPS lat,GPS lon,Adresa,Adresa interní,Městská část,vyska,Typ zdroje,Systém,Popis,0.001,0.005,0.01
49.219943900000004,16.5572753,Absolonova 26a,PKK1 Absolonov.26a,Komín,214.6,PK,K1AbsKOT,Kotle K1 Absolonova,0.0,0.025572115783345666,0.16574383245107616
49.219943900000004,16.5572753,Absolonova 26a,PKK1 Absolonov.26a,Komín,214.6,PK,K1AbsSTR,Topení K1 Absolonova,0.0,0.025572115783345666,0.16574383245107616
49.219943900000004,16.5572753,Absolonova 26a,PKK1 Absolonov.26a,Komín,214.6,PK,K1AbsMT,Měření K1 Absolonova,0.0,0.025572115783345666,0.16574383245107616
49.219943900000004,16.5572753,Absolonova 26a,PKK1 Absolonov.26a,Komín,214.6,PK,K1AbsPS1,"14-16,18-20,22-24,26-28",0.0,0.025572115783345666,0.16574383245107616
49.219943900000004,16.5572753,Absolonova 26a,PKK1 Absolonov.26a,Komín,214.6,PK,AbsPS1MT,"14-16,18-20,22-24,26-28",0.0,0.025572115783345666,0.16574383245107616
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,K4AbsKOT,Kotle K4 Absolonova,0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,K4AbsSTR,Stroj. K4 Absolonova,0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,K4AbsMT,Měření K4 Absolonova,0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,K4AbsPS1,"PDS Absol. 30,73,75,79",0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,K4AbsPS2,"PDS Absol. 81,85,89,93",0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,Ab4PS1MT,"Měření Abs. 30,73,75,79",0.0,0.02921836981770045,0.19302953868795297
49.2214239,16.5559986,Absolonova 93a,PKK4 Absolonov.93a,Komín,221.2,PK,Ab4PS2MT,"Měření Abs. 81,85,89,93",0.0,0.02921836981770045,0.19302953868795297
49.225195299999996,16.627615,Arbesova 12,HO3 Arbesova,Lesná,275.8,HV,HO3ArSTR,Stroj. HO3 Arbesova,0.5141961285038902,0.522042794527385,0.38178566042176304
49.225195299999996,16.627615,Arbesova 12,HO3 Arbesova,Lesná,275.8,HV,HO3ArMT,Měření HO3 Arbesova,0.5141961285038902,0.522042794527385,0.38178566042176304
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,K5AxmKOT,Kotle K5/2 Axmanova,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,K5AxmSTR,Strojovna K5/2 Axmanova,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,K5AxmMT,Měření K5/2 Axmanova,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSAxm13,PDS Axmanova 13,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSAxm15,PDS Axmanova 15,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSJir_9,PDS Jírovcova 9,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSJir13,PDS Jírovcova 13,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSJir15,PDS Jírovcova 15,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSJir17,PDS Jírovcova 17,0.17941373066408345,0.46081500222172356,0.446246032198128
49.1888675,16.536240799999998,Axmanova 12a,PK K5/2 Axmanova,Kohoutovice,386.2,PK,PDSJir19,PDS Jírovcova 19,0.17941373066408345,0.46081500222172356,0.446246032198128
